catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
twinkl,twinkl,Twinkl,twinkl.co.uk|twinkl.com|twinkl.com.au|twinkl.it|twinkl.ae|twinkl.ca|twinkl.ch|twinkl.co.in|twinkl.co.nz|twinkl.co.th|twinkl.co.za|twinkl.com.cn|twinkl.com.hk|twinkl.com.kw|twinkl.com.sg|twinkl.com.vn|twinkl.de|twinkl.es|twinkl.fr|twinkl.ie|twinkl.ro|twinkl.com.qa|twinkl.com.br|twinkl.jp|twinkl.com.mt|twinkl.com.ng|twinkl.pl|twinkl.pt|twinkl.co.id|twinkl.co.ke|twinkl.com.tr|twinkl.com.mx|twinkl.com.eg|twinkl.fi|twinkl.gr|twinkl.hr|twinkl.hu|twinkl.no|twinkl.at|twinkl.cl|twinkl.cz|twinkl.si|twinkl.sk|twinkl.com.pe|twinkl.com.tw|twinkl.com.ph|twinkl.com.pk,United Kingdom,NA,information technology|software development|software industry|educational technology|technology industry|internet industry|education industry,
twinklhive,twinklhive,TwinklHive,NA,NA,Twinkl,investment|educational technology|health technology|financial technology,
twist bioscience,twist bioscience,Twist Bioscience,twistbioscience.com,NA,NA,biotechnology,
twitch interactive,twitch interactive,Twitch Interactive,twitch.tv,United States of America,Amazon,video game industry|internet industry,
twittercounter,twittercounter,TwitterCounter,twittercounter.com,Netherlands,NA,software industry,
two five,two five,Two-Five,twofive.co.jp,Japan,NA,video game industry,
txt e solutions,txt e solutions,TXT e-solutions,txtgroup.com,Italy,NA,software,
tyasuite,tyasuite,TYASuite,tyasuite.com,India,NA,software industry,
tyler technologies,tyler technologies,Tyler Technologies,tylertech.com,NA,NA,software industry,
tynesoft,tynesoft,Tynesoft,NA,NA,NA,video game industry,
uarnet,uarnet,Uarnet,uar.net,Ukraine,Institute for Condensed Matter Physics of NAS of Ukraine,Internet service provider|information and communications technology|telecommunications industry,
uber technology,uber technology,Uber Technology,uber.com,NA,Uber,information technology|peer-to-peer ridesharing|online taxi service,
ubiome,ubiome,uBiome,ubiome.com,United States of America,NA,biotechnology,
ubisoft,ubisoft,Ubisoft,ubisoft.com,France,NA,video game industry,
ubisoft chengdu,ubisoft chengdu,Ubisoft Chengdu,ubisoft.com,People's Republic of China,Ubisoft,video game industry,
ubisoft japan,ubisoft japan,Ubisoft Japan,ubisoft.co.jp,Japan,Ubisoft,video game industry,
ubisoft milan,ubisoft milan,Ubisoft Milan,ubi.com,Italy,Ubisoft,video game industry,
ubisoft montreal,ubisoft montreal,Ubisoft Montreal,montreal.ubisoft.com,Canada,Ubisoft,video game industry,
ubisoft pune,ubisoft pune,Ubisoft Pune,ubisoft.com,India,Ubisoft,video game industry,
ubisoft quebec,ubisoft quebec,Ubisoft Quebec,ubisoft.ca,Canada,Ubisoft,video game industry,
ubisoft romania,ubisoft romania,Ubisoft Romania,bucharest.ubisoft.com,Romania,Ubisoft,video game industry,
ubisoft sao paulo,ubisoft sao paulo,Ubisoft Sao Paulo,ubisoftgroup.com,Brazil,Ubisoft,video game industry,
ubisoft sofia,ubisoft sofia,Ubisoft Sofia,ubisoftgroup.com,NA,Ubisoft,video game industry,
ubisoft ukraine,ubisoft ukraine,Ubisoft Ukraine,ubisoft.com,NA,Ubisoft,video game industry,
ubisoft,ubisoft,"Ubisoft, Inc.",NA,United States of America,Ubisoft,video game industry,
ucl business,ucl business,UCL Business,uclb.com,United Kingdom,NA,technology transfer,
uecomm,uecomm,Uecomm,NA,NA,NA,information and communications technology,
ufo interactive games,ufo interactive games,UFO Interactive Games,ufointeractivegames.com,United States of America,NA,video game industry,
uib gmbh,uib gmbh,uib GmbH,uib.de,Germany,NA,software industry,
ukiyotei,ukiyotei,Ukiyotei,plala.or.jp,Japan,NA,video game industry,
ulead systems,ulead systems,Ulead Systems,ulead.com,Taiwan,Corel,software industry,
ultimaker,ultimaker,Ultimaker,ultimaker.com,Netherlands,NA,software engineering|3D printing|consumer electronics|software industry|software publisher,
ultimate kronos group,ultimate kronos group,Ultimate Kronos Group,ukg.com,United States of America,NA,software industry|human resource management|Workforce management|technology industry,
ultimate software,ultimate software,Ultimate Software,ultimatesoftware.com,NA,NA,software,
ultra games,ultra games,Ultra Games,NA,United States of America,NA,video game industry,
ultrabac,ultrabac,UltraBac,ultrabac.com,United States of America,NA,software industry,
ultrasoft,ultrasoft,Ultrasoft,NA,NA,NA,video game industry,
umbra software,umbra software,Umbra Software,umbra3d.com,Finland,NA,video game industry,
umt ag,umt ag,UMT AG,umt.ag,Germany,NA,information technology,
undead labs,undead labs,Undead Labs,undeadlabs.com,United States of America,Xbox Game Studios,video game industry,
uniadex,uniadex,Uniadex,uniadex.co.jp,NA,NA,information technology,
unicus,unicus,Unicus,unicus.no,Norway,NA,information technology,
uniface (company),uniface (company),Uniface (company),uniface.com,NA,NA,software development,
unify corporation,unify corporation,Unify Corporation,daegis.com,United States of America,NA,software,
unify square,unify square,Unify Square,NA,NA,NA,software development,
unigene laboratories,unigene laboratories,Unigene Laboratories,unigene.com,NA,NA,biotechnology,
unikey,unikey,UniKey,unikey.com,NA,NA,software,
unikie,unikie,Unikie,NA,NA,NA,technology industry,
uninett sigma2,uninett sigma2,UNINETT Sigma2,sigma2.no,Norway,Uninett,technology company,
unique development studios,unique development studios,Unique Development Studios,NA,Sweden,NA,video game industry,
unison computing,unison computing,Unison Computing,NA,NA,NA,technology industry,
unisonic products corporation,unisonic products corporation,Unisonic Products Corporation,NA,United States of America,NA,video game industry,
unisys,unisys,Unisys,unisys.com,United States of America,NA,information technology|IT service management,
unit4,unit4,Unit4,unit4.com,NA,NA,information technology,
united planet gmbh,united planet gmbh,United Planet GmbH,unitedplanet.com,Germany,NA,software industry,
united soft media,united soft media,United Soft Media,usm.de,Germany,NA,software,
united therapeutics,united therapeutics,United Therapeutics,unither.com,United States of America,NA,biotechnology,
unitrends,unitrends,Unitrends,unitrends.com,United States of America,NA,information technology,
unity technologies,unity technologies,Unity Technologies,unity.com,United States of America,NA,video game industry|interactive media,
universal entertainment corporation,universal entertainment corporation,Universal Entertainment Corporation,universal-777.com,Japan,NA,video game industry,
universal interactive,universal interactive,Universal Interactive,NA,United States of America,NA,video game industry,
unreal voodoo,unreal voodoo,Unreal Voodoo,NA,NA,NA,video game industry,
unulax,unulax,Unulax,unulax.com,Nigeria,NA,information technology|software industry|technology industry|internet industry,
unulax consulting,unulax consulting,Unulax Consulting,consulting.unulax.com,NA,Unulax,information technology|software industry,
unulax finance,unulax finance,Unulax Finance,finance.unulax.com,NA,Unulax,financial services|financial technology,
upcodes,upcodes,UpCodes,up.codes,United States of America,NA,software,
upl co ltd,upl co ltd,"UPL Co., Ltd",upl-gravedigger.hp.infoseek.co.jp,Japan,Universal Entertainment Corporation,video game industry,
uplead,uplead,UpLead,uplead.com,United States of America,NA,information technology,
urban brain studios,urban brain studios,Urban Brain Studios,urbanbrainstudios.com,United States of America,NA,video game industry,
userjoy technology,userjoy technology,UserJoy Technology,uj.com.tw,NA,NA,video game industry,
uservoice,uservoice,UserVoice,uservoice.com,United States of America,NA,software industry,
ust global,ust global,UST Global,ust-global.com,United States of America,NA,software industry,
ustwo,ustwo,Ustwo,NA,United Kingdom,NA,software development|video game industry,
usu software,usu software,USU Software,usu.com,Germany,NA,software,
uti holdings,uti holdings,UTI Holdings,uti.ro,NA,NA,information technology,
utimaco atalla,utimaco atalla,Utimaco Atalla,hp.com,United States of America,NA,encryption|enterprise software,
utv ignition games,utv ignition games,UTV Ignition Games,utvignition.com,United Kingdom,UTV Software Communications,video game industry,
utv indiagames,utv indiagames,UTV Indiagames,indiagames.com,NA,UTV Software Communications,video game industry,
vacaay,vacaay,Vacaay,vacaay.com,NA,NA,Travel technology,
vaccinogen,vaccinogen,Vaccinogen,NA,NA,NA,biotechnology,
valamis,valamis,Valamis,valamis.com,Finland,NA,educational system|software development,
valneva se,valneva se,Valneva SE,valneva.com,France,NA,biotechnology,
vanceinfo,vanceinfo,VanceInfo,vanceinfo.com,NA,NA,information technology,
vanguard entertainment,vanguard entertainment,Vanguard Entertainment,NA,NA,NA,video game industry,
vanguard works,vanguard works,Vanguard Works,NA,Japan,NA,video game industry,
vantagepoint capital partners,vantagepoint capital partners,VantagePoint Capital Partners,vpcp.com,United States of America,NA,Clean technology,
vantix diagnostics,vantix diagnostics,Vantix Diagnostics,vantixdx.com,NA,NA,biotechnology,
vaporware,vaporware,VaporWare,vapor.com,NA,NA,software industry,
varian medical systems,varian medical systems,Varian Medical Systems,varian.com,United States of America,NA,health technology,
varie,varie,Varie,NA,Japan,NA,video game industry,
varonis systems,varonis systems,Varonis Systems,varonis.com,NA,NA,software,
vast studios,vast studios,Vast Studios,vaststudio.com,NA,NA,video game industry,
vaxart,vaxart,Vaxart,vaxart.com,United States of America,NA,biotechnology,
veb polytechnik,veb polytechnik,VEB Polytechnik,NA,German Democratic Republic,NA,video game industry,
veb robotron,veb robotron,VEB Robotron,robotrontechnik.de,German Democratic Republic,NA,computer|electrical engineering|software industry,
veb transformatoren  und röntgenwerk dresden,veb transformatoren  und röntgenwerk dresden,VEB Transformatoren- und Röntgenwerk Dresden,NA,German Democratic Republic,NA,health care industry|electrotechnical industry,
vebigo,vebigo,Vebigo,vebigo.com,NA,NA,software development|software industry,
vecna technologies,vecna technologies,Vecna Technologies,vecna.com,United States of America,NA,software|robotics,
vector,vector,Vector,vector.co.jp,NA,NA,software,
vectorious,vectorious,Vectorious,vectoriousmedtech.com,Israel,NA,health technology,
veeam,veeam,Veeam,veeam.com,Switzerland,NA,information technology|software industry,
veeva systems,veeva systems,Veeva Systems,veeva.com,United States of America,NA,software industry,
velocify,velocify,Velocify,NA,NA,NA,software as a service,
veloow,veloow,Veloow,veloow.net,Argentina,NA,software|technology industry,
venda,venda,Venda Inc,venda.com,United States of America,NA,information technology,
vennli,vennli,Vennli,vennli.com,United States of America,NA,software as a service,
veracode,veracode,Veracode,veracode.com,United States of America,NA,computer security software,
verdiem,verdiem,Verdiem,verdiem.com,NA,NA,software,
verenium corporation,verenium corporation,Verenium Corporation,verenium.com,United States of America,NA,biotechnology|industry,
veriff,veriff,Veriff,veriff.com,Estonia,NA,technology industry,
verint systems,verint systems,Verint Systems,verint.com,United States of America,NA,software industry,
veristor systems,veristor systems,VeriStor Systems,veristor.com,United States of America,NA,information technology,
vernalis group,vernalis group,Vernalis Group,NA,United Kingdom,NA,biotechnology|pharmaceutical industry,
vernalis plc,vernalis plc,Vernalis plc,NA,United Kingdom,NA,biotechnology|pharmaceutical industry,
vernalis research,vernalis research,Vernalis Research,vernalis.com,United Kingdom,NA,biotechnology|pharmaceutical industry,
vernier software & technology,vernier software & technology,Vernier Software & Technology,NA,NA,NA,educational technology,
versata,versata,Versata,versata.com,NA,NA,software,
verse,verse,Verse,joinverse.com,Spain,NA,financial technology,
vertex pharmaceuticals,vertex pharmaceuticals,Vertex Pharmaceuticals,vrtx.com,United States of America,NA,pharmaceutical industry|biotechnology industry|health care industry,
vertica,vertica,Vertica,vertica.com,United States of America,Micro Focus International,enterprise software,
vespa,vespa,Vespa,vespainc.com,South Korea,NA,video game|mobile game,
vg holding corp,vg holding corp,VG Holding Corp.,NA,NA,NA,video game industry,
viasphere technopark,viasphere technopark,Viasphere Technopark,viasphere.com,Armenia,NA,technology industry,
victorian partnership for advanced computing,victorian partnership for advanced computing,Victorian Partnership for Advanced Computing,vpac.org,NA,NA,information and communications technology,
videocells,videocells,VideoCells,videocells.com,NA,NA,software,
vienna symphonic library,vienna symphonic library,Vienna Symphonic Library,vsl.co.at,Austria,NA,software,
vigilant applications,vigilant applications,Vigilant Applications,NA,NA,NA,software,
vignette corporation,vignette corporation,Vignette Corporation,NA,NA,NA,software,
